City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,89.53,63,20,12.66,few clouds
1,Rikitea,PF,-23.1203,-134.9692,77.76,74,52,6.98,broken clouds
2,Ribeira Grande,PT,38.5167,-28.7,60.78,77,70,15.01,broken clouds
3,Leningradskiy,RU,69.3833,178.4167,-15.66,97,44,4.63,scattered clouds
4,Chumikan,RU,54.7183,135.315,3.36,82,39,13.82,scattered clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,-14.22,98,88,11.21,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,70.18,78,0,4.0,clear sky
7,Saint-Philippe,RE,-21.3585,55.7679,85.59,72,24,11.74,few clouds
8,Richards Bay,ZA,-28.783,32.0377,71.1,89,100,4.34,overcast clouds
9,Mabaruma,GY,8.2,-59.7833,71.4,99,64,3.09,broken clouds
10,Bluff,NZ,-46.6,168.3333,56.48,71,28,15.68,scattered clouds
11,Severo-Kurilsk,RU,50.6789,156.125,30.81,79,61,19.17,broken clouds
12,Vao,NC,-22.6667,167.4833,75.0,91,100,18.86,moderate rain
13,Hermanus,ZA,-34.4187,19.2345,65.8,76,8,5.03,clear sky
14,Lompoc,US,34.6391,-120.4579,55.6,92,100,6.91,overcast clouds
15,Weinfelden,CH,47.5667,9.1,44.04,92,89,4.25,overcast clouds
16,Cordoba,AR,-31.4135,-64.1811,63.19,63,0,5.75,clear sky
17,Nabire,ID,-3.3667,135.4833,82.09,80,100,2.57,overcast clouds
18,Hilo,US,19.7297,-155.09,77.29,89,0,4.61,clear sky
19,Bredasdorp,ZA,-34.5322,20.0403,70.57,59,3,2.71,clear sky
20,Kavieng,PG,-2.5744,150.7967,84.74,66,62,10.67,broken clouds
21,Upernavik,GL,72.7868,-56.1549,-8.95,79,90,8.03,overcast clouds
22,Tiksi,RU,71.6872,128.8694,-16.85,98,100,6.2,overcast clouds
23,Mackenzie,CA,55.2999,-123.1698,31.21,94,99,5.14,overcast clouds
24,Ayan,RU,56.45,138.1667,-1.34,74,87,11.03,overcast clouds
25,Cape Town,ZA,-33.9258,18.4232,72.09,66,20,3.44,few clouds
26,Shache,CN,38.4167,77.2406,24.71,30,0,1.5,clear sky
27,Sao Filipe,CV,14.8961,-24.4956,70.39,65,90,8.68,overcast clouds
28,Verkhoyansk,RU,67.5447,133.385,-31.45,99,65,1.23,broken clouds
29,Galle,LK,6.0367,80.217,82.09,72,11,8.48,few clouds
30,Westport,US,41.1415,-73.3579,29.55,55,100,9.22,overcast clouds
31,Pisco,PE,-13.7,-76.2167,69.85,88,0,5.75,clear sky
32,Hithadhoo,MV,-0.6,73.0833,81.21,76,49,15.41,scattered clouds
33,Kiama,AU,-34.6833,150.8667,83.37,70,1,13.0,clear sky
34,Hambantota,LK,6.1241,81.1185,84.54,79,40,3.44,scattered clouds
35,Torbay,CA,47.6666,-52.7314,31.26,85,70,3.0,broken clouds
36,Mataura,NZ,-46.1927,168.8643,64.51,65,93,4.36,overcast clouds
37,Poum,NC,-20.2333,164.0167,76.62,89,100,15.93,overcast clouds
38,Amapa,BR,1.0,-52.0,71.89,99,100,2.1,overcast clouds
39,Vaini,TO,-21.2,-175.2,82.56,83,40,6.91,scattered clouds
40,Oyem,GA,1.5995,11.5793,66.92,92,16,0.49,few clouds
41,Busselton,AU,-33.65,115.3333,75.58,36,2,16.02,clear sky
42,Bonthe,SL,7.5264,-12.505,76.08,80,4,3.27,clear sky
43,Codrington,AU,-38.2667,141.9667,100.54,20,13,12.19,few clouds
44,Katsuura,JP,35.1333,140.3,50.43,38,27,6.06,scattered clouds
45,Jiwani,PK,25.05,61.7417,73.98,69,32,6.55,scattered clouds
46,Cukai,MY,4.25,103.4167,82.38,69,96,8.52,overcast clouds
47,Albany,US,42.6001,-73.9662,24.03,62,100,5.99,overcast clouds
48,Rawson,AR,-43.3002,-65.1023,59.94,71,94,16.75,overcast clouds
49,Hoskote,IN,13.0669,77.7983,74.23,86,40,11.5,mist
50,Yabelo,ET,4.8833,38.0833,67.24,48,100,11.1,overcast clouds
51,Zhigansk,RU,66.7697,123.3711,-14.71,98,100,22.06,light snow
52,Atuona,PF,-9.8,-139.0333,78.24,75,91,16.46,overcast clouds
53,Esperance,AU,-33.8667,121.9,66.61,60,42,24.45,scattered clouds
54,Kaili,ID,-3.4626,120.2147,75.99,80,100,2.35,overcast clouds
55,Kapaa,US,22.0752,-159.319,73.72,93,0,3.44,clear sky
56,Jamestown,US,42.097,-79.2353,18.99,85,100,9.22,overcast clouds
57,Chokurdakh,RU,70.6333,147.9167,-30.08,100,97,3.58,overcast clouds
58,Narsaq,GL,60.9167,-46.05,28.62,88,100,6.42,light snow
